<<<<<<< HEAD
1.42775625012 0.943934339 2.37084836702
5.14613317625 3.41401686044 3.55677205567
7.80027746244 5.19432794397 5.80406511424
5.35548971979 3.55460474244 3.69821379199
5.22873060792 3.46795952096 3.61809916791
6.55425284168 4.29485965232 7.34299689567
3.1242069563 2.09826751094 3.46554120945
6.50498911993 2.84525647105 9.34910843108
5.50052865167 2.40057530213 11.8963489622
6.48325142741 2.83607313924 9.31385445598
2.14372752698 18.8159289667 33.3569834815
6.26347223861 4.20569749708 4.51992926682
3.49871846425 3.45517848975 1.75067810876
5.18262503004 5.13945592403 1.14680847188
38.0329734214 25.8585718685 0.29776073102
6.51417347765 6.34651494584 19.4951564976
25.1204318085 17.0611919937 5.19170826182
5.87607083835 3.89234919068 6.53360815902
33.668482722 33.8125915865 0.938014690924
10.286086422 15.2665524427 36.3631877908
14.2719490638 9.4078905258 6.0369495507
1.68120685886 2.53296184979 36.8448432644
4.90899023182 7.39702193883 5.25207839778
20.3533495847 19.5772953865 9.51956243853
3.96775662308 3.92520443165 17.9623638482
7.03496622802 26.7515845216 3.97906263002
7.32227002872 0.884808905945 19.3512645716
18.5140907113 2.23698942758 8.84596313008
1.84109629933 4.27467267808 6.10168120751
1.84109629933 4.27467267808 6.10168120752
62.2474279759 71.1789957969 0.176281194427
13.1962876925 13.5781004568 10.8332094029
8.73980122187 2.14348192692 25.234036391
10.1616699542 6.78615195094 16.4394927761
1.68968097903 0.741383548704 22.0406264329
1.68964888115 0.741369452853 22.0408789614
13.7157912475 32.2917262809 10.8617759849
3.84617448175 5.69870779026 13.9711711807
9.19458360064 9.1589534921 0.0575638319192
5.48134492998 5.45940262795 1.20727420799
1.24685200453 1.24798636334 23.7766539847
3.1073316223 2.13315945886 5.25130324165
3.22400080423 2.1458628812 12.760887738
26.7581109584 39.217592014 0.314593773287
4.17297838922 4.19972654024 3.57983608129
20.2483227856 46.3458153744 0.0302688095336
8.4562283036 8.36504026458 25.1894690845
15.0799648138 1.73244567131 38.1269073703
30.2330881227 12.306255055 18.2125323138
43.210439699 43.3669513956 1.1029411217
4.12809228207 1.70189460687 22.9614241298
14.7099477332 14.9884340303 7.4425179998
14.6989930236 14.9709816999 7.48292515952
7.30100308226 4.93488513399 18.4170356941
5.41669002351 3.61361158916 5.86410048057
10.6263333669 7.03134046447 1.96344926517
10.6263357838 7.0313420438 1.96344896744
10.6263340138 7.03134088721 1.96344918547
10.6263335395 7.03134057731 1.96344924389
10.6263334125 7.03134049428 1.96344925955
10.6263333693 7.03134046607 1.96344926486
2.83881445171 4.27906078271 28.1045096259
10.6263333784 7.03134047203 1.96344926374
11.8209791629 7.97325561864 12.5352915582
5.56881186052 5.79236736 16.6493340566
25.4809534978 16.7733637132 10.6445769711
61.1141585685 44.3049267634 1.23683519263
20.3046352403 19.8253314616 9.50334486863
16.568745564 6.55300770647 22.7782534721
13.6198450113 5.60018085094 29.2952312396
12.3781418913 3.43652699032 36.4494044775
15.7564364387 60.9953365371 0.540371652404
2.86111546542 4.2267840592 10.7448392343
5.84990091169 5.88139103029 17.4945151551
17.8954589479 39.3520708171 5.40518746768
=======
2.71166634182 1.17899599751 3.89152536908
3.46474191817 1.50643277768 3.31380670343
2.71186721138 1.17908326403 3.89092603819
2.71168162046 1.17900256424 3.89139753746
2.71175582806 1.17903480236 3.89112864126
2.71177112425 1.17904150337 3.89110043463
2.71198177094 1.17913302448 3.89079861314
2.71167904348 1.17900142112 3.89141149903
>>>>>>> 828b06e6b51bcccbb19b6c80111b6d60e78ee41f
